"Author_Abbrev","Title_Abbrev","Authors","Latin_Title","Modern_Title"
"Arist.","De motu an.","Aristotle","De motu animalium"
"Arist.","Gen. an.","Aristotle","De generatione animalium"
"Arist.","Hist. an.","Aristotle","Historia animalium"
"Arist.","IA","Aristotle","De incessu animalium"
"Arist.","Lin. Ins.","Aristotle","De lineis inseccabilibus"
"Arist.","Mech.","Aristotle","Mechanica"
"Arist.","Mir. ausc.","Aristotle","De mirabilibus auscultationibus"
"Arist.","Part. an.","Aristotle","De partibus animalium"
"Arist.","Parv. nat.","Aristotle","Parva naturalia","Parva naturalia"
"Arist.","Phgn.","Aristotle","Physiognomica"
"Arist.","Top.","Aristotle","Topica","Topics"
"Arist.","Xen.","Aristotle","De Xenophane"
"Aristid.","Or.","Aristides","Orationes"
"Aristid. Quint.","Epon.","Aristides Quintilianus","Eponymous"
"Aristox.","Fr. hist.","Aristoxenus","Fragmenta historica"
"Aristox.","Harm.","Aristoxenus","Harmonica"
"Aristox.","Rhythm.","Aristoxenus","Rhythmica"
"Arn.","Adv. nat.","Arnobius","Adversus nationes"
"Arr.","Anab.","Arrian","Anabasis"
"Arr.","Cyn.","Arrian","Cynegeticus"
"Arr.","Epict. diss.","Arrian","Epicteti dissertationes"
"Arr.","Parth.","Arrian","Parthica"
"Arr.","Peripl. M. Eux.","Arrian","Periplus Maris Euxini"
"Arr.","Tact.","Arrian","Tactica"
"Artem.","Epon.","Artemidorus Daldianus","Eponymous"
"Asc.","Corn.","Asconius","Commentary on Cicero, Pro Corneleo de maiestate"
"Asc.","Mil.","Asconius","Commentary on Cicero, Pro Milone"
"Asc.","Pis.","Asconius","Commentary on Cicero, In Pisonem"
"Asc.","Verr.","Asconius","Commentary on Cicero, In Verrem"
"Ath.","Epon.","Athenaeus","Eponymous"
"Athengoras","Leg.","Athengoras","Legatio pro Christianis"
"August.","Ad Rom.","Augustine","Expositio of Epist. ad Romanos"
"August.","C. acad.","Augustine","Contra academicos"
"August.","Conf.","Augustine","Confessions"
"August.","De civ. D.","Augustine","De civitate Dei"
"August.","Div. quaest.","Augustine","De diversis quaestionibus"
"August.","Ep.","Augustine","Epistulae"
"August.","In Evang. Iohan.","Augustine","Tractatus in Evangelium Iohannis"
"August.","Retract.","Augustine","Retractationes"
"August.","Serm.","Augustine","Sermones"
"Aur. Vict.","Caes.","Aurelius Victor","Caesares"
"Aur. Vict.","De vir. ill.","Aurelius Victor","De viris illustribus"
"Auson.","Cent. nupt.","Ausonius","Cento nuptialis"
"Auson.","Grat. act.","Ausonius","Gratiarum actio"
"Auson.","Mos.","Ausonius","Mosella"
"Auson.","Ordo nob. urb.","Ausonius","Ordo nobilium urbium"
"Auson.","Prof. Burd.","Ausonius","Commemoratio professorum Burdigalensium"
"Auson.","Technop.","Ausonius","Technopaegnion"
"Bacchyl.","Epon.","Bacchylides","Eponymous"
"Baruch","Jer.","Baruch","Jeremiah"
"Basil.","De virg.","Basilius","De virginitate"
"Caes.","B Afr.","Caesar","Bellum Africum"
"Caes.","B Civ.","Caesar","Bellum Civile"
"Caes.","B Gall.","Caesar","Bellum Gallicum"
"Callim.","Aet.","Callimachus","Aetia"
"Callim.","Epigr.","Callimachus","Epigrammata"
"Callim.","Hymn 1","Callimachus","Hymn to Zeus"
"Callim.","Hymn 2","Callimachus","Hymn to Apollo"
"Callim.","Hymn 3","Callimachus","Hymn to Artemis"
"Callim.","Hymn 4","Callimachus","Hymn to Delos"
"Callim.","Hymn 5","Callimachus","Hymn to Athena"
"Callim.","Hymn 6","Callimachus","Hymn to Demeter"
"Callim.","Ia.","Callimachus","Iambics"
"Calp.","Ecl.","Calpurnius Siculus","Eclogues"
"Cass. Dio","Epon.","Cassius Dio","Eponymous"
"Cassiod.","Inst.","Cassiodorus","Institutiones"
"Cassiod.","Var.","Cassiodorus","Variae"
"Cato","Agr. Orig.","Cato","De agricultura or De re rustica Origines"
"Catull.","Epon.","Catullus","Eponymous"
"Celsus","Med.","Celsus","De medicina"
"Censorinus","DN","Censorinus","De die natali"
"Chalcid.","In Tim.","Chalcidius","In Platonis Timaeum"
"Charisius","Gramm.","Charisius","Ars grammatica"
"Cic.","Acad.","Cicero (Marcus Tullius)","Academicae quaestiones (= Plasberg, Bk. 4)"
"Cic.","Acad. post.","Cicero (Marcus Tullius)","Academica Priora (= Plasberg, Bk. 1)"
"Cic.","Ad Brut.","Cicero (Marcus Tullius)","Epistulae ad Brutum"
"Cic.","Amic.","Cicero (Marcus Tullius)","De amicitia"
"Cic.","Arch.","Cicero (Marcus Tullius)","Pro Archia"
"Cic.","Att.","Cicero (Marcus Tullius)","Epistule ad Atticum"
"Cic.","Balb.","Cicero (Marcus Tullius)","Pro Balbo"
"Cic.","Caecin.","Cicero (Marcus Tullius)","Pro Caecina"
"Cic.","Cael.","Cicero (Marcus Tullius)","Pro Caelio"
"Cic.","Cat.","Cicero (Marcus Tullius)","In Catilinam"
"Cic.","Clu.","Cicero (Marcus Tullius)","Pro Cluentio"
"Cic.","Corn.","Cicero (Marcus Tullius)","Pro Cornelio de maiestate"
"Cic.","De or.","Cicero (Marcus Tullius)","De oratore"
"Cic.","Deiot.","Cicero (Marcus Tullius)","Pro rege Deiotaro"
"Cic.","Div.","Cicero (Marcus Tullius)","De divinatione"
"Cic.","Div. Caec.","Cicero (Marcus Tullius)","Divinatio in Caecilium"
"Cic.","Dom.","Cicero (Marcus Tullius)","De domo sua"
"Cic.","Fam.","Cicero (Marcus Tullius)","Epistulae ad familiares"
"Cic.","Fat.","Cicero (Marcus Tullius)","De fato"
"Cic.","Fin.","Cicero (Marcus Tullius)","De finibus"
"Cic.","Flac.","Cicero (Marcus Tullius)","Pro Flacco"
"Cic.","Font.","Cicero (Marcus Tullius)","Pro Fonteio"
"Cic.","Har. resp.","Cicero (Marcus Tullius)","De haruspicum responso"
"Cic.","Inv. rhet.","Cicero (Marcus Tullius)","De inventione rhetorica"
"Cic.","Leg.","Cicero (Marcus Tullius)","De legibus"
"Cic.","Leg. agr.","Cicero (Marcus Tullius)","De lege agraria"
