iam_work_id,author_abbrev,title_abbrev,author_name,iam_author_id,latin_title,modern_title
iamwork106,Anon.,Zec.,Anonymous,,Zechariah,
iamwork107,Anon.,Zephaniah,Anonymous,,Zephanaiah,
iamwork109,Antig. Car.,Epon.,Antigonus Carystius,antigonus-carystius,Eponymous,
iamwork110,Antip. Sid.,Epon.,Antipater Sidonius,antipater-sidonius,Eponymous,
iamwork129,Appolonius Dyscolus,Pron.,Appolonius Dyscolus,appolonius-dyscolus,De pronominibus,
iamwork130,Apsines,Rhet.,Apsines,apsines,Ars rhetorica,
iamwork131,Apth.,Prog.,Aphthonius,aphthonius,Progymnasmata,
iamwork132,Apul.,Apol.,Apuleius,apuleius,Apologia,
iamwork133,Apul.,Asclep.,Apuleius,apuleius,Asclepius,
iamwork134,Apul.,De deo Soc.,Apuleius,apuleius,De deo Socratico,
iamwork135,Apul.,De dog. Plat.,Apuleius,apuleius,De dogmate Platonis,
iamwork136,Apul.,Flor.,Apuleius,apuleius,Florida,
iamwork137,Apul.,Met.,Apuleius,apuleius,Metamorphoses,
iamwork149,Ar. Byz.,Epon.,Aristophanes Byzantinus,aristophanes-byzantinus,Eponymous,
iamwork150,Aratus,Phaen.,Aratus,aratus,Phaenomena,
iamwork151,Aratus,Progn.,Aratus,aratus,Prognostica,
iamwork152,Archil.,Epon.,Archilochus,archilochus,Eponymous,
iamwork157,Arist.,Cael.,Aristotle,aristotle,De caelo,
iamwork159,Arist.,Col.,Aristotle,aristotle,De coloribus,
iamwork161,Arist.,De audib.,Aristotle,aristotle,De audibilibus,
iamwork162,Arist.,De motu an.,Aristotle,aristotle,De motu animalium,
iamwork166,Arist.,Gen. an.,Aristotle,aristotle,De generatione animalium,
iamwork168,Arist.,Hist. an.,Aristotle,aristotle,Historia animalium,
iamwork169,Arist.,IA,Aristotle,aristotle,De incessu animalium,
iamwork171,Arist.,Lin. Ins.,Aristotle,aristotle,De lineis inseccabilibus,
iamwork173,Arist.,Mech.,Aristotle,aristotle,Mechanica,
iamwork177,Arist.,Mir. ausc.,Aristotle,aristotle,De mirabilibus auscultationibus,
iamwork180,Arist.,Part. an.,Aristotle,aristotle,De partibus animalium,
iamwork181,Arist.,Parv. nat.,Aristotle,aristotle,Parva naturalia,Parva naturalia
iamwork183,Arist.,Phgn.,Aristotle,aristotle,Physiognomica,
iamwork192,Arist.,Top.,Aristotle,aristotle,Topica,Topics
iamwork193,Arist.,Xen.,Aristotle,aristotle,De Xenophane,
iamwork195,Aristid.,Or.,Aristides,aristides,Orationes,
iamwork197,Aristid. Quint.,Epon.,Aristides Quintilianus,aristides-quintilianus,Eponymous,
iamwork198,Aristox.,Fr. hist.,Aristoxenus,aristoxenus,Fragmenta historica,
iamwork199,Aristox.,Harm.,Aristoxenus,aristoxenus,Harmonica,
iamwork200,Aristox.,Rhythm.,Aristoxenus,aristoxenus,Rhythmica,
iamwork201,Arn.,Adv. nat.,Arnobius,arnobius,Adversus nationes,
iamwork202,Arr.,Anab.,Arrian,arrian,Anabasis,
iamwork203,Arr.,Cyn.,Arrian,arrian,Cynegeticus,
iamwork204,Arr.,Epict. diss.,Arrian,arrian,Epicteti dissertationes,
iamwork205,Arr.,Parth.,Arrian,arrian,Parthica,
iamwork206,Arr.,Peripl. M. Eux.,Arrian,arrian,Periplus Maris Euxini,
iamwork207,Arr.,Tact.,Arrian,arrian,Tactica,
iamwork208,Artem.,Epon.,Artemidorus Daldianus,artemidorus-daldianus,Eponymous,
iamwork209,Asc.,Corn.,Asconius,asconius,"Commentary on Cicero, Pro Corneleo de maiestate",
iamwork210,Asc.,Mil.,Asconius,asconius,"Commentary on Cicero, Pro Milone",
iamwork211,Asc.,Pis.,Asconius,asconius,"Commentary on Cicero, In Pisonem",
iamwork212,Asc.,Verr.,Asconius,asconius,"Commentary on Cicero, In Verrem",
iamwork213,Ath.,Epon.,Athenaeus,athenaeus,Eponymous,
iamwork214,Athengoras,Leg.,Athengoras,athengoras,Legatio pro Christianis,
iamwork215,August.,Ad Rom.,Augustine,augustine,Expositio of Epist. ad Romanos,
iamwork216,August.,C. acad.,Augustine,augustine,Contra academicos,
iamwork217,August.,Conf.,Augustine,augustine,Confessions,
iamwork218,August.,De civ. D.,Augustine,augustine,De civitate Dei,
iamwork219,August.,Div. quaest.,Augustine,augustine,De diversis quaestionibus,
iamwork220,August.,Ep.,Augustine,augustine,Epistulae,
iamwork221,August.,In Evang. Iohan.,Augustine,augustine,Tractatus in Evangelium Iohannis,
iamwork222,August.,Retract.,Augustine,augustine,Retractationes,
iamwork223,August.,Serm.,Augustine,augustine,Sermones,
iamwork224,Aur. Vict.,Caes.,Aurelius Victor,aurelius-victor,Caesares,
iamwork225,Aur. Vict.,De vir. ill.,Aurelius Victor,aurelius-victor,De viris illustribus,
iamwork226,Auson.,Cent. nupt.,Ausonius,ausonius,Cento nuptialis,
iamwork227,Auson.,Grat. act.,Ausonius,ausonius,Gratiarum actio,
iamwork228,Auson.,Mos.,Ausonius,ausonius,Mosella,
iamwork229,Auson.,Ordo nob. urb.,Ausonius,ausonius,Ordo nobilium urbium,
iamwork230,Auson.,Prof. Burd.,Ausonius,ausonius,Commemoratio professorum Burdigalensium,
iamwork231,Auson.,Technop.,Ausonius,ausonius,Technopaegnion,
iamwork232,Bacchyl.,Epon.,Bacchylides,bacchylides,Eponymous,
iamwork233,Baruch,Jer.,Baruch,baruch,Jeremiah,
iamwork234,Basil.,De virg.,Basilius,basilius,De virginitate,
iamwork235,Caes.,B Afr.,Caesar,caesar,Bellum Africum,
iamwork236,Caes.,B Civ.,Caesar,caesar,Bellum Civile,
iamwork237,Caes.,B Gall.,Caesar,caesar,Bellum Gallicum,
iamwork238,Callim.,Aet.,Callimachus,callimachus,Aetia,
iamwork239,Callim.,Epigr.,Callimachus,callimachus,Epigrammata,
iamwork240,Callim.,Hymn 1,Callimachus,callimachus,Hymn to Zeus,
iamwork241,Callim.,Hymn 2,Callimachus,callimachus,Hymn to Apollo,
iamwork242,Callim.,Hymn 3,Callimachus,callimachus,Hymn to Artemis,
iamwork243,Callim.,Hymn 4,Callimachus,callimachus,Hymn to Delos,
iamwork244,Callim.,Hymn 5,Callimachus,callimachus,Hymn to Athena,
iamwork245,Callim.,Hymn 6,Callimachus,callimachus,Hymn to Demeter,
iamwork246,Callim.,Ia.,Callimachus,callimachus,Iambics,
iamwork247,Calp.,Ecl.,Calpurnius Siculus,calpurnius-siculus,Eclogues,
iamwork248,Cass. Dio,Epon.,Cassius Dio,cassius-dio,Eponymous,
iamwork249,Cassiod.,Inst.,Cassiodorus,cassiodorus,Institutiones,
iamwork250,Cassiod.,Var.,Cassiodorus,cassiodorus,Variae,
iamwork251,Cato,Agr. Orig.,Cato,cato,De agricultura or De re rustica Origines,
iamwork252,Catull.,Epon.,Catullus,catullus,Eponymous,
iamwork253,Celsus,Med.,Celsus,celsus,De medicina,
iamwork254,Censorinus,DN,Censorinus,censorinus,De die natali,
iamwork255,Chalcid.,In Tim.,Chalcidius,chalcidius,In Platonis Timaeum,
iamwork256,Charisius,Gramm.,Charisius,charisius,Ars grammatica,
iamwork257,Cic.,Acad.,Cicero (Marcus Tullius),cicero-marcus-tullius,"Academicae quaestiones (= Plasberg, Bk. 4)",
iamwork258,Cic.,Acad. post.,Cicero (Marcus Tullius),cicero-marcus-tullius,"Academica Priora (= Plasberg, Bk. 1)",
iamwork259,Cic.,Ad Brut.,Cicero (Marcus Tullius),cicero-marcus-tullius,Epistulae ad Brutum,
