"stoa_work_id","latin_title","stoa_group_id","group_name"
"latinLit:stoa0231/latinLit:stoa019","Trinummus","latinLit:stoa0231","Plautus"
"latinLit:stoa0231/latinLit:stoa020","Truculentus","latinLit:stoa0231","Plautus"
"latinLit:stoa0231/latinLit:stoa021","Vidularia","latinLit:stoa0231","Plautus"
"latinLit:stoa0231/latinLit:stoa022","Fragmenta","latinLit:stoa0231","Plautus"
"latinLit:stoa0232/latinLit:stoa001","Naturalis Historia","latinLit:stoa0232","Pliny the Elder"
"latinLit:stoa0233/latinLit:stoa001","Epistulae","latinLit:stoa0233","Pliny the Younger"
"latinLit:stoa0233/latinLit:stoa002","Panegyricus","latinLit:stoa0233","Pliny the Younger"
"latinLit:stoa0234/latinLit:stoa001","Carmina erotica","latinLit:stoa0234","Pontano, Giovanni"
"latinLit:stoa0235/latinLit:stoa001","Epigrammata","latinLit:stoa0235","Prokopovic, Theophanes"
"latinLit:stoa0236/latinLit:stoa001","Elegiae","latinLit:stoa0236","Propertius"
"latinLit:stoa0237/latinLit:stoa001","Epistola ad Augustinum","latinLit:stoa0237","Prosper Aquitanus"
"latinLit:stoa0237/latinLit:stoa002","De gratia Dei et libero voluntatis arbitrio","latinLit:stoa0237","Prosper Aquitanus"
"latinLit:stoa0237/latinLit:stoa003","Sententiae","latinLit:stoa0237","Prosper Aquitanus"
"latinLit:stoa0238/latinLit:stoa001","Liber Peristephanon","latinLit:stoa0238","Prudentius"
"latinLit:stoa0238/latinLit:stoa002","Psychomachia","latinLit:stoa0238","Prudentius"
"latinLit:stoa0239/latinLit:stoa001","Declamationes maiores","latinLit:stoa0239","[Quintilian]"
"latinLit:stoa0240/latinLit:stoa001","Institutio oratoria","latinLit:stoa0240","Quintilian"
"latinLit:stoa0241/latinLit:stoa001","De rerum naturis sive De universo","latinLit:stoa0241","Rabanus Maurus"
"latinLit:stoa0242/latinLit:stoa001","De concubitu Martis et Veneris","latinLit:stoa0242","Reposianus"
"latinLit:stoa0243/latinLit:stoa001","Ver erat","latinLit:stoa0243","Rimbaud, Arthur"
"latinLit:stoa0244/latinLit:stoa001","Praefatio","latinLit:stoa0244","Ruaeus, Carolus"
"latinLit:stoa0244/latinLit:stoa002","Argumentum Aeneidos","latinLit:stoa0244","Ruaeus, Carolus"
"latinLit:stoa0245/latinLit:stoa001","Ignoramus","latinLit:stoa0245","Ruggle, George"
"latinLit:stoa0246/latinLit:stoa001","De figuris sententiarum et Elocutionis","latinLit:stoa0246","Rutilius Lupus"
"latinLit:stoa0247/latinLit:stoa001","De reditu suo","latinLit:stoa0247","Rutilius Namatianus"
"latinLit:stoa0248/latinLit:stoa001","Epistulae tres ad Ovidianas epistulas responsoriae","latinLit:stoa0248","Sabinus, Aulus"
"latinLit:stoa0249/latinLit:stoa001","De bello Iugurthino","latinLit:stoa0249","Sallust"
"latinLit:stoa0249/latinLit:stoa002","De coniuratione Catilinae","latinLit:stoa0249","Sallust"
"latinLit:stoa0249/latinLit:stoa003","Epistula secunda ad Caesarem senem","latinLit:stoa0249","Sallust"
"latinLit:stoa0249/latinLit:stoa004","Historiae","latinLit:stoa0249","Sallust"
"latinLit:stoa0249/latinLit:stoa005","Invectiva in Ciceronem","latinLit:stoa0249","Sallust"
"latinLit:stoa0250/latinLit:stoa001","De partu virginis","latinLit:stoa0250","Sannazaro, Jacopo"
"latinLit:stoa0250/latinLit:stoa002","Lamentatio de morte Christi","latinLit:stoa0250","Sannazaro, Jacopo"
"latinLit:stoa0251/latinLit:stoa001","Ad Sanctum Augustinum epistola","latinLit:stoa0251","Secundinus Manichaeus"
"latinLit:stoa0252/latinLit:stoa001","A solis ortus cardine","latinLit:stoa0252","Sedulius, Caelius"
"latinLit:stoa0252/latinLit:stoa002","Carmen Paschale","latinLit:stoa0252","Sedulius, Caelius"
"latinLit:stoa0253/latinLit:stoa001","Carmina","latinLit:stoa0253","Sedulius Scotus"
"latinLit:stoa0254/latinLit:stoa001","Controversiae","latinLit:stoa0254","Seneca the Elder"
"latinLit:stoa0254/latinLit:stoa002","Historiae ab initio bellorum civilium","latinLit:stoa0254","Seneca the Elder"
"latinLit:stoa0254/latinLit:stoa003","Suasoriae","latinLit:stoa0254","Seneca the Elder"
"latinLit:stoa0255/latinLit:stoa001","Agamemnon","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa002","Apocolocyntosis","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa003","De beneficiis","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa004","De brevitate vitae","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa005","De clementia","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa006","De consolatione ad Helviam","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa007","De consolatione ad Marciam","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa008","De consolatione ad Polybium","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa009","De constantia sapientis","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa010","De ira","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa011","De otio","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa012","De providentia","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa013","De tranquillitate Animi","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa014","De vita beata","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa015","Epistulae morales ad Lucilium","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa016","Hercules furens","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa017","Hercules Oetaeus","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa018","Medea","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa019","Oedipus","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa020","Phaedra","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa021","Phoenissae","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa022","Quaestiones naturales","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa023","Thyestes","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0255/latinLit:stoa024","Troades","latinLit:stoa0255","Seneca the Younger"
"latinLit:stoa0256/latinLit:stoa001","De moribus","latinLit:stoa0256","[Seneca the Younger]"
"latinLit:stoa0256/latinLit:stoa002","Octavia","latinLit:stoa0256","[Seneca the Younger]"
"latinLit:stoa0257/latinLit:stoa001","Poematia","latinLit:stoa0257","Sentius Augurinus"
"latinLit:stoa0258/latinLit:stoa001","Liber medicinalis","latinLit:stoa0258","Serenus"
"latinLit:stoa0259/latinLit:stoa001","Commentarius in artem Donati","latinLit:stoa0259","Servius"
"latinLit:stoa0259/latinLit:stoa002","Commentarii in carmina Vergilii","latinLit:stoa0259","Servius"
"latinLit:stoa0259/latinLit:stoa003","De centum metris","latinLit:stoa0259","Servius"
"latinLit:stoa0259/latinLit:stoa004","De metris Horatii","latinLit:stoa0259","Servius"
"latinLit:stoa0260/latinLit:stoa001","De condicionibus agrorum","latinLit:stoa0260","Siculus Flaccus"
"latinLit:stoa0260/latinLit:stoa002","De divisis et assignatis","latinLit:stoa0260","Siculus Flaccus"
"latinLit:stoa0260/latinLit:stoa003","De quaestoriis agris","latinLit:stoa0260","Siculus Flaccus"
"latinLit:stoa0261/latinLit:stoa001","Carmina","latinLit:stoa0261","Sidonius Apollinaris"
"latinLit:stoa0261/latinLit:stoa002","Epistulae","latinLit:stoa0261","Sidonius Apollinaris"
"latinLit:stoa0262/latinLit:stoa001","Liber de scriptoribus ecclesiasticis","latinLit:stoa0262","Sigebert of Gembloux"
"latinLit:stoa0262/latinLit:stoa002","Virginalis sancta frequentia","latinLit:stoa0262","Sigebert of Gembloux"
"latinLit:stoa0263/latinLit:stoa001","Punica","latinLit:stoa0263","Silius Italicus"
"latinLit:stoa0264/latinLit:stoa001","De mirabilibus mundi","latinLit:stoa0264","Solinus"
"latinLit:stoa0265/latinLit:stoa001","Ethica","latinLit:stoa0265","Spinoza, Benedict de"
"latinLit:stoa0266/latinLit:stoa001","Sprenger, Jakob","latinLit:stoa0266",""
"latinLit:stoa0266/latinLit:stoa002","Malleus maleficarum","latinLit:stoa0266",""
